"Player","School","Conf","G","Pass.Cmp","Pass.Att","Pass.Pct","Pass.Yds","Pass.Y.A","Pass.AY.A","Pass.TD","Pass.Int","Pass.Rate","Rush.Att","Rush.Yds","Rush.Avg","Rush.TD","Year.Drafted","Draft.Round","Years.on.Payroll","Games.Started","Under.Contract","Drafted","total.TDs","TD.per.game"
"A.J. Doyle","Massachusetts","MAC",11,128,235,54.5,1274,5.4,3.8,6,11,99.1,65,151,2.3,0,NA,NA,NA,NA,"No","No",6,0.545454545454545
"A.J. Erdely","UAB","CUSA",13,205,338,60.7,2331,6.9,7.3,16,4,131.8,122,326,2.7,13,NA,NA,NA,NA,"No","No",29,2.23076923076923
"A.J. Feeley","Oregon","Pac-10",10,136,259,52.5,1951,7.5,7.6,14,6,129,31,-5,-0.2,0,2001,5,6,18,"No","Yes",14,1.4
"A.J. McCarron","Alabama","SEC",40,656,978,67.1,8630,8.8,9.63333333333333,74,15,163.266666666667,113,-40,-0.4,3,NA,NA,NA,NA,"No","No",77,1.925
"A.J. Suggs","Georgia Tech","ACC",13,208,363,57.3,2242,6.2,5,12,15,111.8,52,21,0.4,0,NA,NA,NA,NA,"No","No",12,0.923076923076923
"Aaron Karas","Baylor","Big 12",21,285,490,58.15,3273,6.65,5.15,16,24,115.2,154,-188,-1.55,1,NA,NA,NA,NA,"No","No",17,0.80952380952381
"Aaron Leak","Troy","Ind",12,110,259,42.5,1427,5.5,4,7,12,88.4,126,208,1.7,3,NA,NA,NA,NA,"No","No",10,0.833333333333333
"Aaron Murray","Georgia","SEC",52,921,1478,62.375,13166,8.925,9.325,121,41,158.625,286,396,1.375,16,2014,5,0,0,"No","Yes",137,2.63461538461538
"Aaron Opelt","Toledo","MAC",39,625,1074,57.725,6804,6.325,5.925,46,29,119.275,198,537,2.8,16,NA,NA,NA,NA,"No","No",62,1.58974358974359
"Aaron Rodgers","California","Pac-10",25,424,665,63.85,5469,8.2,8.65,43,13,150.45,160,336,2.05,8,2005,1,17,199,"Yes","Yes",51,2.04
"Adam Dimichele","Temple","Ind",20,269,451,59.7,3429,7.6,7.05,28,18,135.7,134,-93,-0.5,3,NA,NA,NA,NA,"No","No",31,1.55
"Adam Hall","San Diego State","MWC",11,272,452,60.2,3253,7.2,7.1,17,9,129.1,64,-110,-1.7,0,NA,NA,NA,NA,"No","No",17,1.54545454545455
"Adam Kennedy","Arkansas State","Sun Belt",13,218,315,69.2,2363,7.5,7.3,11,6,139.9,153,524,3.4,4,NA,NA,NA,NA,"No","No",15,1.15384615384615
"Adam Smith","Duke","ACC",12,174,308,56.5,2031,6.6,6.1,12,9,118.9,62,-119,-1.9,0,NA,NA,NA,NA,"No","No",12,1
"Adam Tafralis","San Jose State","WAC",36,574,962,59.3666666666667,7116,7.4,7.13333333333333,50,28,133.066666666667,213,505,2.33333333333333,7,NA,NA,NA,NA,"No","No",57,1.58333333333333
"Adam Weber","Minnesota","Big Ten",50,909,1594,56.85,10917,6.85,6.35,72,51,123.075,398,873,1.8,10,NA,NA,NA,NA,"No","No",82,1.64
"Adrian Martinez","Nebraska","Big Ten",21,373,598,62,4573,7.65,7.25,27,17,135.15,284,1255,4.4,15,NA,NA,NA,NA,"No","No",42,2
"AJ Bush","Illinois","Big Ten",10,117,217,53.9,1413,6.5,5,6,10,108.5,138,733,5.3,8,NA,NA,NA,NA,"No","No",14,1.4
"Alex Brink","Washington State","Pac-10",46,848,1451,57.2,10913,7.425,7.125,76,43,130.475,246,98,0.375,5,2008,7,0,0,"No","Yes",81,1.76086956521739
