"Player","School","Conf","G","Pass.Cmp","Pass.Att","Pass.Pct","Pass.Yds","Pass.Y.A","Pass.AY.A","Pass.TD","Pass.Int","Pass.Rate","Rush.Att","Rush.Yds","Rush.Avg","Rush.TD","Year"
"Michael Vick","Virginia Tech","Big East","12","105","182","57.7","2065","11.3","11.5","13","5","171.1","131","682","5.2","9",1999
"Joe Hamilton","Georgia Tech","ACC","11","203","305","66.6","3060","10","10.3","29","11","175","154","734","4.8","6",1999
"Chad Pennington","Marshall","MAC","12","275","405","67.9","3799","9.4","10","37","11","171.4","56","103","1.8","2",1999
"Jonathan Beasley","Kansas State","Big 12","11","90","203","44.3","1805","8.9","8.7","14","7","134.9","105","227","2.2","8",1999
"Jarious Jackson","Notre Dame","Ind","12","184","316","58.2","2753","8.7","7.8","17","14","140.3","140","464","3.3","7",1999
"Todd Husak","Stanford","Pac-10","10","176","308","57.1","2688","8.7","8.3","18","11","142.6","30","3","0.1","3",1999
"Mike Bath","Miami (OH)","MAC","11","138","295","46.8","2525","8.6","8.2","24","13","136.7","65","-86","-1.3","0",1999
"Jay Stuckey","UTEP","WAC","12","145","225","64.4","1918","8.5","7.3","15","13","146.5","63","62","1","3",1999
"Jay Stoner","Wyoming","MWC","9","135","222","60.8","1859","8.4","7.7","8","7","136.7","66","-94","-1.4","2",1999
"Keith Smith","Arizona","Pac-10","11","131","228","57.5","1903","8.3","7.6","10","8","135","51","151","3","2",1999
"Chris Weinke","Florida State","ACC","11","232","377","61.5","3103","8.2","7.9","25","14","145.1","31","-109","-3.5","0",1999
"Antwaan Randle El","Indiana","Big Ten","11","150","279","53.8","2277","8.2","8.3","17","7","137.4","224","788","3.5","13",1999
"Mike Moschetti","Colorado","Big 12","10","204","331","61.6","2693","8.1","7.6","18","12","140.7","85","125","1.5","5",1999
"Darnell Arceneaux","Utah","MWC","9","83","165","50.3","1342","8.1","7.4","10","7","130.1","48","47","1","1",1999
"David Neill","Nevada","Big West","11","247","423","58.4","3402","8","8.2","20","7","138.2","100","209","2.1","5",1999
"Randy McCown","Texas A&M","Big 12","11","152","295","51.5","2374","8","7.5","14","10","128","80","57","0.7","2",1999
"K.C. Enzminger","New Mexico State","Big West","11","112","236","47.5","1878","8","8.2","14","5","129.6","125","358","2.9","8",1999
"Kevin Feterik","Brigham Young","MWC","11","277","452","61.3","3554","7.9","7.5","25","15","138.9","88","-77","-0.9","1",1999
"Jeff Kelly","Southern Mississippi","CUSA","11","153","260","58.8","2062","7.9","7.6","21","11","143.7","50","-58","-1.2","1",1999
"Dan Ellis","Virginia","ACC","10","156","258","60.5","2050","7.9","7.8","20","10","145","64","31","0.5","0",1999
"Kevin Thompson","Penn State","Big Ten","12","133","242","55","1916","7.9","7.3","13","9","131.8","32","7","0.2","0",1999
"Butchie Washington","Akron","MAC","11","131","240","54.6","1896","7.9","7.2","12","9","129.9","82","40","0.5","2",1999
"Bart Hendricks","Boise State","Big West","12","203","351","57.8","2746","7.8","7.4","22","13","136.8","119","357","3","8",1999
"Chris Finlen","Northern Illinois","MAC","11","118","199","59.3","1551","7.8","6.5","12","11","133.6","59","59","1","1",1999
"Tim Lester","Western Michigan","MAC","12","282","470","60","3639","7.7","7.9","34","13","143.4","55","154","2.8","1",1999
